,Fiyat,Brüt Metrekare,yaş,bina_kat,Kullanım,tarih,tipi,Net Metrekare,oda sayısı,kaçıncı kat,ısıtma
774,1790000,144 M2,0 (Yeni),6,Boş,14 Aralık 2022,Konut,114 M2,3+1,Bahçe Katı,Kombi Doğalgaz
776,769000,60 M2,5-10,4,Kiracı Oturuyor,13 Aralık 2022,Konut,55 M2,1+1,1.Kat,Kombi Doğalgaz
778,1250000,165 M2,11-15,4,Mülk Sahibi Oturuyor,13 Aralık 2022,Konut,160 M2,4+1,4.Kat,Kombi Doğalgaz
780,2499000,120 M2,0 (Yeni),6,Boş,12 Aralık 2022,Konut,100 M2,2+1,5.Kat,Yerden Isıtma
782,5600000,200 M2,16-20,4,Mülk Sahibi Oturuyor,12 Aralık 2022,Konut,165 M2,3+1,Müstakil.Kat,Kombi Doğalgaz
784,600000,95 M2,11-15,4,Boş,12 Aralık 2022,Konut,91 M2,2+1,3.Kat,Kombi Doğalgaz
786,1190000,120 M2,5-10,4,Mülk Sahibi Oturuyor,12 Aralık 2022,Konut,100 M2,2+1,Yüksek Giriş,Kombi Doğalgaz
788,1450000,115 M2,16-20,5,Boş,12 Aralık 2022,Konut,95 M2,2+1,Bahçe Katı,Kombi Doğalgaz
790,4850003,95 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,12 Aralık 2022,Konut,90 M2,2+1,2.Kat,Kombi Doğalgaz
792,785000,105 M2,21 Ve Üzeri,6,Boş,12 Aralık 2022,Konut,100 M2,2+1,5.Kat,Kombi Doğalgaz
794,1675000,135 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,12 Aralık 2022,Konut,120 M2,2.5+1,1.Kat,Merkezi (Pay Ölçer)
