,Fiyat,Brüt Metrekare,yaş,bina_kat,Kullanım,tarih,tipi,Net Metrekare,oda sayısı,kaçıncı kat,ısıtma
116,1700000,95 M2,21 Ve Üzeri,4,Kiracı Oturuyor,04 Ocak 2023,Konut,90 M2,2+1,3.Kat,Doğalgaz Sobalı
118,6750000,204 M2,11-15,20,Kiracı Oturuyor,04 Ocak 2023,Konut,203 M2,3+1,10-20.Kat,Merkezi Doğalgaz
120,2500000,140 M2,0 (Yeni),3,Boş,04 Ocak 2023,Konut,125 M2,3+1,Düz Giriş,Yerden Isıtma
122,1340000,225 M2,2,3,Boş,04 Ocak 2023,Konut,200 M2,4+1,3.Kat,Kombi Doğalgaz
124,2600000,140 M2,5-10,7,Mülk Sahibi Oturuyor,03 Ocak 2023,Konut,115 M2,3+1,3.Kat,Kombi Doğalgaz
126,710000,94 M2,11-15,3,Boş,04 Ocak 2023,Konut,80 M2,2+1,1.Kat,Kombi Doğalgaz
128,1325000,96 M2,5-10,6,Kiracı Oturuyor,03 Ocak 2023,Konut,84 M2,2+1,3.Kat,Merkezi (Pay Ölçer)
130,575000,300 M2,16-20,1,Boş,03 Ocak 2023,Konut,296 M2,2+1,Bahçe Katı,Sobalı
132,2200000,150 M2,0 (Yeni),3,Boş,03 Ocak 2023,Konut,140 M2,3+1,2.Kat,Kombi Doğalgaz
134,875000,105 M2,21 Ve Üzeri,5,Boş,03 Ocak 2023,Konut,95 M2,2+1,4.Kat,Doğalgaz Sobalı
136,585000,105 M2,16-20,3,Mülk Sahibi Oturuyor,03 Ocak 2023,Konut,95 M2,2+1,Kot 3 (-3).Kat,Kombi Doğalgaz
138,1250000,120 M2,0 (Yeni),5,Boş,04 Ocak 2023,Konut,90 M2,2+1,1.Kat,Kombi Doğalgaz
140,2950000,705 M2,16-20,2,Boş,03 Ocak 2023,Konut,250 M2,5+2,Müstakil.Kat,Doğalgaz Sobalı
142,1550000,140 M2,0 (Yeni),3,Boş,03 Ocak 2023,Konut,130 M2,3+1,3.Kat,Kombi Doğalgaz
144,395000,90 M2,21 Ve Üzeri,4,Boş,03 Ocak 2023,Konut,87 M2,2+1,3.Kat,Sobalı
146,1300000,125 M2,0 (Yeni),3,Boş,03 Ocak 2023,Konut,120 M2,2+1,Çatı Dubleks,Kombi Doğalgaz
148,1450000,120 M2,0 (Yeni),3,Boş,02 Ocak 2023,Konut,90 M2,2+1,2.Kat,Yerden Isıtma
150,765000,100 M2,21 Ve Üzeri,5,Boş,03 Ocak 2023,Konut,90 M2,2+1,5.Kat,Kombi Doğalgaz
152,790000,70 M2,4,3,Kiracı Oturuyor,02 Ocak 2023,Konut,60 M2,1+1,Bahçe Katı,Kombi Doğalgaz
154,4600000,240 M2,0 (Yeni),11,Mülk Sahibi Oturuyor,03 Ocak 2023,Konut,200 M2,4+1,3.Kat,Yerden Isıtma
156,4250000,65 M2,21 Ve Üzeri,2,Boş,02 Ocak 2023,Konut,60 M2,2+1,1.Kat,Kombi Doğalgaz
