Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Yapı Durumu,Site İçerisinde,Banyo Sayısı,Fiyat Durumu,Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Tapu Durumu,Eşya Durumu,Konum,Fiyat
87,2,1,4,1,2,1,1 ,3,0,92,5,3,1,0,9,1925000
75,2,1,7,1,2,1,1,3,0,85,5,2,5,0,7,3000000
80,2,2,4,1,2,1,1 ,3,0,90,2,4,1,1,6,1259000
95,2,4,4,1,2,1,1,3,0,155,7,4,4,0,0,870000
120,2,2,4,1,2,1,1,1,0,125,8,4,1,0,8,2000000
49,2,2,8,2,2,1,1,3,0,55,1,6,1,1,6,1820000
120,6,3,4,1,2,1,1,3,0,140,5,5,4,1,5,1100000
95,2,1,4,1,2,1,2,3,0,105,7,4,4,0,5,1550000
85,2,2,4,1,2,1,1,3,0,95,3,5,3,0,6,1540000
70,2,5,5,1,2,0,1,3,0,80,1,5,3,1,6,1330000
140,6,3,4,1,2,1,2,3,0,150,8,3,4,0,5,2400000
120,6,4,4,1,2,0,1,3,0,130,5,4,4,0,5,1500000
95,2,-1,4,1,2,1,1,3,0,105,2,3,1,0,11,975000
85,2,1,4,1,2,1,1,3,0,110,8,5,1,0,4,2855000
110,6,3,4,1,2,1,1 ,3,0,125,2,3,1,1,6,1740000
60,0,4,4,1,2,1,1,3,0,70,8,6,1,0,4,1910000
85,2,2,4,1,2,0,1,3,0,95,3,5,3,0,6,1540000
85,2,2,4,1,2,0,1,3,0,95,3,5,3,0,6,1540000
110,6,-3,4,1,2,1,2,1,0,130,0,3,3,0,9,1750000
95,2,5,4,1,2,1,1,3,0,110,5,6,1,0,11,1375000
200,11,3,4,1,2,1,2 ,3,0,220,4,3,1,0,1,4050000
100,2,2,4,1,2,1,1 ,3,0,110,8,2,1,0,1,1850000
110,6,1,4,1,2,1,1 ,3,0,120,8,3,1,0,1,1970000
115,4,1,6,1,2,0,2,3,0,135,5,5,4,0,11,2550000
125,6,1,4,1,2,1,1 ,3,0,130,3,5,4,0,2,1330000
125,6,2,4,2,2,1,2 ,3,0,140,1,4,1,0,2,2250000
109,2,2,4,2,2,1,1 ,3,0,110,4,4,4,0,2,1730000
120,2,3,4,1,2,1,1,3,0,138,3,5,3,0,11,1800000
125,6,3,6,1,2,0,1,3,0,140,5,5,1,0,11,1870000
100,6,4,4,1,2,1,1,3,0,120,5,5,4,0,11,1950000
120,6,1,6,1,2,1,1 ,1,0,125,8,5,1,0,8,2600000
125,2,4,4,1,2,1,1,3,0,133,5,4,1,0,12,1425000
50,2,-2,7,0,2,1,1,3,0,60,5,5,4,0,9,720000
143,6,-3,8,1,0,0,2,3,0,156,0,3,3,0,0,3800000
125,6,1,6,1,2,1,1,3,0,140,5,7,4,0,11,2200000
95,2,-1,4,1,2,1,1,3,0,105,2,3,1,0,11,975000
110,6,2,4,1,2,1,1,3,0,120,8,5,3,0,11,1620000
100,2,5,4,2,2,1,1,3,0,120,5,5,4,0,9,1900000
84,2,3,4,1,2,0,1,3,0,86,8,4,1,0,0,2300000
45,0,3,5,2,2,1,1 ,3,0,50,8,5,1,1,6,1450000
100,6,4,0,0,2,1,1,3,0,115,5,4,1,0,2,1450000
72,2,6,4,1,2,1,1 ,3,0,78,5,6,1,0,11,1680000
120,2,2,0,1,2,1,2,3,0,388,3,4,4,0,4,2250000
90,2,1,4,1,2,1,1,1,0,99,3,5,1,0,4,2050000
100,2,1,4,1,2,1,1 ,3,0,110,8,5,1,0,3,1450000
130,6,4,4,1,2,0,2,3,0,150,4,5,3,0,0,3600000
110,6,2,4,1,2,1,1,2,0,115,5,4,3,0,9,1650000
200,10,3,4,1,2,1,2,2,0,240,8,3,3,0,6,4150000
150,2,2,4,1,2,1,1 ,3,0,160,5,4,4,0,11,2200000
90,2,3,0,1,2,1,1,3,0,95,5,3,4,0,0,970000
85,2,2,1,1,2,0,1 ,3,0,95,5,4,1,0,0,2000000
145,6,1,4,1,2,0,1,2,0,150,5,4,3,0,6,3650000
110,10,1,4,1,2,1,1,3,0,283,5,1,5,0,0,3800000
68,2,3,4,1,2,1,1,3,0,75,8,4,4,0,6,1450000
70,2,2,4,1,2,1,1,3,0,80,8,5,3,1,6,1375000
135,6,1,4,1,2,0,2,3,0,165,3,4,4,0,4,3650000
95,2,-1,4,1,2,1,1,3,0,105,2,3,1,0,11,975000
80,2,3,4,1,2,1,1 ,3,0,95,8,4,1,1,11,1790000
200,10,3,6,1,2,1,2,3,0,250,5,5,1,0,9,4500000
90,2,5,8,1,2,0,2 ,3,0,110,0,6,4,0,6,2589000
135,6,3,8,1,2,0,2 ,3,0,145,0,4,4,0,12,3100000
135,6,5,4,2,2,1,1 ,3,0,140,5,5,1,0,12,2980000
60,2,2,4,1,2,0,1 ,3,0,70,8,4,1,1,6,1260000
125,6,3,4,1,2,1,1 ,3,0,140,8,3,1,0,1,2270000
130,6,2,4,1,2,1,1 ,3,0,140,6,3,1,0,1,3600000
95,6,5,4,1,2,1,1 ,3,0,110,5,5,1,0,1,1700000
130,6,2,4,1,2,0,1,3,0,140,5,5,4,1,4,2925000
170,2,2,4,1,2,1,2 ,3,0,225,7,5,5,0,2,3250000
105,2,3,4,1,2,1,2 ,3,0,130,0,4,1,0,9,2100000
135,6,1,4,0,2,0,2 ,3,0,150,2,5,3,0,4,3150000
70,2,1,4,1,2,1,1,3,0,78,8,4,3,0,6,1425000
130,2,3,4,1,0,0,2,2,0,150,0,3,3,0,0,2750000
138,6,2,4,1,2,1,2 ,3,0,150,8,5,4,0,6,2450000
90,2,9,4,2,2,0,2 ,3,0,100,0,10,1,0,9,2150000
110,6,9,4,2,2,0,2 ,3,0,120,0,12,1,0,9,3050000
95,2,-1,4,1,2,1,1,3,0,105,2,3,1,0,11,975000
120,6,0,7,1,2,1,1,3,0,130,5,5,3,0,10,1600000
85,2,3,4,2,2,1,1,3,0,90,5,5,1,0,11,1597000
75,2,1,4,1,2,1,1 ,3,0,85,5,4,1,0,11,1347000
95,2,3,4,1,2,1,1,3,0,100,5,4,1,0,11,1643000
120,6,0,4,1,2,1,1,3,0,135,5,5,4,0,11,1549000
75,2,2,4,1,2,0,1,3,0,80,7,3,1,0,11,1849000
