,Fiyat,Yaş,Bina Kat,Net Metrekare,Oda Sayısı,Kaçıncı Kat,7_Dubleks,7_Konut,7_Müstakil,7_Villa,11_Doğalgaz Sobalı,11_Kat Kaloriferi,11_Klimalı,11_Kombi Doğalgaz,11_Kombi Fueloil,11_Merkezi,11_Sobalı,11_Yerden Isıtma
110,1650000,1,5,105,3,3,0,1,0,0,0,0,0,0,0,1,0,0
111,1350000,8,5,200,7,5,1,0,0,0,0,0,0,0,0,1,0,0
112,630000,13,5,80,3,2,0,1,0,0,0,0,0,1,0,0,0,0
113,1700000,25,5,165,4,3,0,1,0,0,0,0,0,0,0,1,0,0
114,950000,25,5,140,4,4,0,1,0,0,0,0,0,1,0,0,0,0
115,1580000,8,4,190,5,4,0,1,0,0,0,0,0,1,0,0,0,0
116,2800000,25,3,482,9,3,0,0,1,0,0,0,0,0,0,0,0,0
117,889000,0,3,75,3,1,0,1,0,0,0,0,0,1,0,0,0,0
118,995000,25,3,140,4,3,0,1,0,0,0,0,0,0,0,0,0,0
119,1550000,0,5,47,2,3,0,1,0,0,0,0,0,0,0,0,0,1
120,2790000,3,3,175,4,3,0,1,0,0,0,0,0,1,0,0,0,0
121,6500000,13,3,300,7,1,0,1,0,0,0,0,0,1,0,0,0,0
122,500000,25,3,150,4,3,0,0,1,0,0,0,0,0,0,0,1,0
123,2100000,0,5,180,5,5,1,0,0,0,0,0,0,0,0,0,0,0
124,1050000,0,5,80,3,4,0,1,0,0,0,0,0,0,0,0,0,0
125,1100000,25,9,130,3,2,0,1,0,0,0,0,0,1,0,0,0,0
126,750000,25,4,100,3,2,0,1,0,0,0,0,0,1,0,0,0,0
127,2090000,0,10,100,3,1,0,1,0,0,0,0,0,0,0,0,0,1
128,2250000,25,2,230,7,1,0,1,0,0,0,0,0,0,0,0,1,0
129,3600000,13,4,165,5,4,0,1,0,0,0,0,0,1,0,0,0,0
130,4100000,25,4,350,6,1,0,1,0,0,0,0,1,0,0,0,0,0
131,5000000,8,3,500,8,1,0,1,0,0,0,0,0,1,0,0,0,0
132,1570000,8,3,150,5,1,0,1,0,0,0,0,0,1,0,0,0,0
133,1600000,25,2,185,7,1,0,1,0,0,0,0,0,1,0,0,0,0
134,895000,25,1,40,1,1,0,0,1,0,0,0,0,0,0,0,0,0
135,5250000,25,3,285,5,1,0,1,0,0,0,0,0,1,0,0,0,0
136,3850000,18,3,250,3,1,0,1,0,0,0,0,0,1,0,0,0,0
137,1660000,0,10,127,4,10,0,1,0,0,0,0,0,1,0,0,0,0
138,2350000,13,4,270,6,4,0,1,0,0,0,0,0,1,0,0,0,0
139,8000000,8,4,400,6,1,0,1,0,0,0,0,0,1,0,0,0,0
140,490000,25,1,85,3,1,0,0,1,0,0,0,0,1,0,0,0,0
141,450000,25,2,120,4,1,0,1,0,0,0,0,0,0,0,0,0,0
142,1920000,0,9,100,3,6,0,1,0,0,0,0,0,0,0,0,0,1
143,699000,18,5,80,2,5,0,1,0,0,0,0,0,1,0,0,0,0
144,1550000,8,3,250,7,3,0,1,0,0,0,0,0,1,0,0,0,0
145,820000,13,5,145,5,2,0,1,0,0,0,0,0,1,0,0,0,0
146,3750000,8,3,350,6,3,0,0,1,0,0,0,0,1,0,0,0,0
147,1099000,25,3,150,5,3,0,1,0,0,0,0,0,1,0,0,0,0
148,835000,13,2,130,4,1,0,1,0,0,0,0,0,0,0,0,1,0
149,595000,25,2,155,4,2,0,0,1,0,0,0,0,1,0,0,0,0
150,890000,4,5,100,3,1,0,1,0,0,0,0,0,1,0,0,0,0
151,8250000,25,2,350,8,2,1,0,0,0,0,0,0,0,0,0,0,1
152,450000,25,5,140,2,1,0,1,0,0,0,0,0,0,0,0,0,0
153,570000,25,5,115,4,2,0,1,0,0,1,0,0,0,0,0,0,0
154,3300000,13,5,150,4,2,0,1,0,0,0,0,0,1,0,0,0,0
155,550000,25,5,150,4,-1,0,1,0,0,0,0,0,0,0,0,1,0
156,1525000,25,3,250,7,1,0,1,0,0,0,0,0,1,0,0,0,0
157,9250000,8,2,300,5,2,0,0,0,1,0,0,0,1,0,0,0,0
158,1400000,0,4,200,4,4,1,0,0,0,0,0,0,1,0,0,0,0
159,800000,18,2,110,4,2,0,1,0,0,1,0,0,0,0,0,0,0
160,1550000,8,5,280,6,1,0,1,0,0,0,0,0,1,0,0,0,0
161,485000,25,4,85,3,1,0,1,0,0,0,0,0,1,0,0,0,0
162,500000,13,5,89,3,1,0,1,0,0,0,0,0,1,0,0,0,0
163,3450000,0,2,220,5,2,0,1,0,0,0,0,0,0,0,0,0,1
164,2050000,8,5,145,4,1,0,1,0,0,0,0,0,1,0,0,0,0
165,2590000,8,10,185,5,4,0,1,0,0,0,0,0,1,0,0,0,0
166,6700000,0,2,200,6,1,0,1,0,0,0,0,0,1,0,0,0,0
167,850000,0,1,125,2,1,0,0,1,0,0,0,0,0,0,0,0,0
168,1475000,8,1,100,3,1,0,0,1,0,0,0,0,0,0,0,1,0
169,575000,13,11,140,4,1,0,1,0,0,0,0,0,1,0,0,0,0
170,8500000,0,5,350,6,5,0,0,0,1,0,0,0,1,0,0,0,0
171,700000,8,2,220,2,2,0,0,1,0,1,0,0,0,0,0,0,0
172,6000000,18,4,470,8,4,0,0,0,1,0,0,0,1,0,0,0,0
173,375000,25,4,85,3,2,0,1,0,0,1,0,0,0,0,0,0,0
174,950000,25,2,132,5,2,1,0,0,0,0,0,0,0,0,0,0,0
175,4500000,25,4,550,10,4,0,0,1,0,0,0,0,1,0,0,0,0
176,1175000,2,6,52,3,3,0,1,0,0,0,0,0,0,0,0,0,1
177,2300000,0,8,120,4,1,0,1,0,0,0,0,0,0,0,0,0,1
178,1120000,25,4,140,4,-3,0,1,0,0,0,0,0,1,0,0,0,0
179,650000,13,6,80,3,1,0,1,0,0,0,0,0,1,0,0,0,0
180,625000,13,5,90,4,-1,0,1,0,0,0,0,0,1,0,0,0,0
181,700000,13,5,127,4,5,0,1,0,0,0,0,0,1,0,0,0,0
182,1250000,4,4,55,2,1,0,1,0,0,0,0,0,1,0,0,0,0
183,2150000,25,4,85,10,4,0,0,1,0,1,0,0,0,0,0,0,0
184,1600000,13,5,135,4,5,0,1,0,0,0,0,0,1,0,0,0,0
185,1250000,0,9,60,3,7,0,1,0,0,0,0,0,0,0,0,0,1
186,1100000,4,1,75,3,1,0,1,0,0,0,0,0,0,0,0,1,0
187,645000,25,5,115,3,3,0,1,0,0,0,0,0,1,0,0,0,0
188,1315000,8,5,84,3,5,0,1,0,0,0,0,0,0,0,1,0,0
189,1200000,4,4,55,2,1,0,1,0,0,0,0,0,1,0,0,0,0
190,7500000,1,3,220,6,3,0,1,0,0,0,0,0,1,0,0,0,0
191,1550000,25,9,120,4,6,0,1,0,0,0,0,0,0,0,1,0,0
192,770000,25,4,90,3,4,0,1,0,0,0,0,0,1,0,0,0,0
